Timestamp,CO2Emission
2022-12-11T05:40:00,215.0
2022-12-11T05:40:00,215.0
2022-12-11T05:35:00,214.0
2022-12-11T05:35:00,214.0
2022-12-11T05:30:00,220.0
2022-12-11T23:50:00,246.0
2022-12-11T23:50:00,246.0
2022-12-11T23:45:00,245.0
2022-12-11T23:45:00,245.0
2022-12-11T23:40:00,243.0
2022-12-11T10:35:00,227.0
2022-12-11T10:35:00,227.0
2022-12-11T10:30:00,224.0
2022-12-11T10:30:00,224.0
2022-12-11T10:25:00,232.0
2022-12-11T10:55:00,240.0
2022-12-11T10:55:00,240.0
2022-12-11T10:50:00,241.0
2022-12-11T10:50:00,241.0
2022-12-11T10:45:00,238.0
2022-12-11T07:10:00,226.0
2022-12-11T07:10:00,226.0
2022-12-11T07:05:00,232.0
2022-12-11T07:05:00,232.0
2022-12-11T07:00:00,232.0
2022-12-11T17:50:00,214.0
2022-12-11T17:50:00,214.0
2022-12-11T17:45:00,213.0
2022-12-11T17:45:00,213.0
2022-12-11T17:40:00,213.0
2022-12-11T12:05:00,247.0
2022-12-11T12:05:00,247.0
2022-12-11T12:00:00,247.0
2022-12-11T12:00:00,247.0
2022-12-11T11:55:00,244.0
2022-12-11T09:35:00,236.0
2022-12-11T09:35:00,236.0
2022-12-11T09:30:00,237.0
2022-12-11T09:30:00,237.0
2022-12-11T09:25:00,241.0
2022-12-11T14:05:00,240.0
2022-12-11T14:05:00,240.0
2022-12-11T14:00:00,247.0
2022-12-11T14:00:00,247.0
2022-12-11T13:55:00,251.0
2022-12-11T14:50:00,244.0
2022-12-11T14:50:00,244.0
2022-12-11T14:45:00,244.0
2022-12-11T14:45:00,244.0
2022-12-11T14:40:00,241.0
2022-12-11T09:55:00,241.0
2022-12-11T09:55:00,241.0
2022-12-11T09:50:00,237.0
2022-12-11T09:50:00,237.0
2022-12-11T09:45:00,237.0
2022-12-11T16:10:00,230.0
2022-12-11T16:10:00,230.0
2022-12-11T16:05:00,231.0
2022-12-11T16:05:00,231.0
2022-12-11T16:00:00,235.0
2022-12-11T17:25:00,214.0
2022-12-11T17:25:00,214.0
2022-12-11T17:20:00,215.0
2022-12-11T17:20:00,215.0
2022-12-11T17:15:00,217.0
2022-12-11T18:20:00,216.0
2022-12-11T18:20:00,216.0
2022-12-11T18:15:00,215.0
2022-12-11T18:15:00,215.0
2022-12-11T18:10:00,214.0
2022-12-11T15:35:00,236.0
2022-12-11T15:35:00,236.0
2022-12-11T15:30:00,234.0
2022-12-11T15:30:00,234.0
2022-12-11T15:25:00,232.0
2022-12-11T23:35:00,242.0
2022-12-11T23:35:00,242.0
